Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Purchase History,Seasonality,Preparation Method,Geographical Location,Pricing,Wastage Food Amount
Fruits,400,Social Gathering,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,45
Fruits,400,Birthday,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,25
Fruits,491,Social Gathering,497,Room Temperature,Regular,Summer,Finger Food,Urban,High,32
Baked Goods,220,Wedding,300,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15
Baked Goods,220,Wedding,300,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,15
Vegetables,320,Corporate,400,Refrigerated,Occasional,Winter,Sit-down Dinner,Urban,High,35
Vegetables,350,Corporate,450,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,25
Baked Goods,400,Wedding,500,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,50
Baked Goods,320,Wedding,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25
Dairy Products,300,Corporate,400,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,20
Baked Goods,250,Wedding,350,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40
Baked Goods,280,Wedding,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,25
Dairy Products,320,Corporate,400,Room Temperature,Regular,All Seasons,Buffet,Urban,High,45
Meat,250,Corporate,350,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,Moderate,20
Vegetables,400,Corporate,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,Low,25
Fruits,400,Birthday,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,25
Meat,300,Social Gathering,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35
Dairy Products,491,Birthday,497,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,32
Baked Goods,250,Corporate,350,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,30
Fruits,320,Social Gathering,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25
Fruits,220,Social Gathering,300,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,15
Fruits,280,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20
Dairy Products,400,Birthday,500,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,45
Baked Goods,350,Wedding,450,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,30
Baked Goods,400,Social Gathering,500,Room Temperature,Regular,Winter,Finger Food,Suburban,High,40
Baked Goods,250,Social Gathering,350,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40
Dairy Products,400,Corporate,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,25
Fruits,400,Social Gathering,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,50
Baked Goods,310,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,35
Baked Goods,350,Corporate,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,45
Baked Goods,320,Corporate,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40
Baked Goods,220,Wedding,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15
Dairy Products,280,Birthday,350,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,20
Dairy Products,250,Birthday,350,Room Temperature,Regular,All Seasons,Buffet,Rural,Moderate,20
Dairy Products,250,Wedding,350,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,30
Baked Goods,220,Wedding,300,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15
Baked Goods,300,Social Gathering,400,Room Temperature,Occasional,All Seasons,Buffet,Suburban,Low,20
Dairy Products,350,Birthday,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25
Dairy Products,342,Social Gathering,405,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,29
Baked Goods,380,Social Gathering,500,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,35
Dairy Products,250,Birthday,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40
Baked Goods,400,Corporate,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,50
Baked Goods,400,Wedding,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,50
Baked Goods,400,Corporate,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40
Dairy Products,400,Wedding,500,Room Temperature,Occasional,Winter,Sit-down Dinner,Urban,High,40
Dairy Products,320,Wedding,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35
Dairy Products,342,Social Gathering,405,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,29
Dairy Products,400,Social Gathering,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,40
Dairy Products,320,Social Gathering,400,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,35
Baked Goods,300,Social Gathering,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,20
Dairy Products,220,Social Gathering,300,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15
Baked Goods,400,Wedding,500,Room Temperature,Occasional,Winter,Sit-down Dinner,Suburban,High,40
Vegetables,350,Wedding,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25
Vegetables,429,Social Gathering,496,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Low,42
Baked Goods,380,Social Gathering,400,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,25
Baked Goods,250,Birthday,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40
Meat,250,Social Gathering,350,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25
Dairy Products,250,Corporate,350,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,20
Baked Goods,300,Social Gathering,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,20
Dairy Products,320,Social Gathering,480,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,40
Baked Goods,300,Social Gathering,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,20
Dairy Products,380,Social Gathering,400,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,25
Baked Goods,320,Social Gathering,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40
Dairy Products,300,Social Gathering,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25
Dairy Products,397,Social Gathering,482,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,31
Dairy Products,280,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15
Baked Goods,350,Birthday,450,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,Moderate,25
Dairy Products,280,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20
Meat,488,Wedding,498,Refrigerated,Regular,Winter,Finger Food,Rural,High,63
Meat,320,Corporate,400,Refrigerated,Regular,Summer,Buffet,Urban,Moderate,25
Meat,302,Birthday,371,Room Temperature,Regular,Summer,Buffet,Suburban,Low,27
Meat,300,Wedding,450,Refrigerated,Regular,Winter,Finger Food,Suburban,High,35
Meat,350,Wedding,450,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,40
Vegetables,280,Wedding,350,Refrigerated,Regular,Summer,Finger Food,Urban,Low,20
Meat,300,Wedding,450,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,35
Fruits,320,Birthday,480,Room Temperature,Regular,Summer,Buffet,Suburban,High,40
Fruits,350,Birthday,450,Refrigerated,Regular,Winter,Finger Food,Suburban,High,30
Meat,300,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,20
Meat,350,Corporate,450,Refrigerated,Occasional,Summer,Finger Food,Suburban,High,30
Baked Goods,367,Birthday,420,Room Temperature,Regular,Winter,Buffet,Suburban,Low,40
Meat,300,Wedding,400,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,25
Meat,300,Wedding,400,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,Low,20
Fruits,280,Birthday,350,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,Low,25
Fruits,320,Corporate,480,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,40
Baked Goods,320,Wedding,400,Room Temperature,Regular,All Seasons,Buffet,Rural,High,35
Meat,250,Birthday,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,25
Vegetables,207,Birthday,280,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,20
Meat,250,Social Gathering,350,Refrigerated,Regular,Summer,Finger Food,Suburban,High,35
Meat,250,Corporate,350,Room Temperature,Occasional,Winter,Finger Food,Suburban,High,35
Fruits,350,Birthday,450,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,45
Fruits,438,Wedding,493,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,35
Dairy Products,250,Wedding,350,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,10
Meat,310,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Rural,High,35
Baked Goods,380,Birthday,480,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,30
Baked Goods,320,Wedding,400,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,25
Fruits,400,Corporate,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,50
Meat,453,Social Gathering,484,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,54
Baked Goods,350,Birthday,450,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,40
Baked Goods,400,Corporate,500,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,45
Meat,400,Corporate,500,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,High,50
Dairy Products,300,Birthday,400,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,30
Dairy Products,434,Birthday,495,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,36
Fruits,280,Birthday,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,25
Baked Goods,400,Social Gathering,450,Room Temperature,Regular,Summer,Buffet,Urban,Moderate,30
Baked Goods,400,Wedding,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,25
Meat,350,Wedding,450,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,Moderate,25
Fruits,453,Birthday,484,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,54
Dairy Products,453,Corporate,484,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,54
Dairy Products,240,Wedding,450,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,20
Dairy Products,350,Wedding,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35
Dairy Products,300,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,25
Dairy Products,320,Social Gathering,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25
Meat,367,Birthday,420,Room Temperature,Regular,Summer,Buffet,Urban,Low,40
Meat,220,Wedding,300,Refrigerated,Regular,Summer,Finger Food,Urban,Low,15
Fruits,280,Wedding,350,Refrigerated,Regular,Winter,Finger Food,Urban,Low,20
Fruits,491,Birthday,497,Refrigerated,Regular,Winter,Finger Food,Urban,High,32
Baked Goods,434,Wedding,495,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,36
Vegetables,230,Corporate,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,Moderate,30
Baked Goods,250,Birthday,350,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25
Dairy Products,300,Corporate,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25
Baked Goods,350,Wedding,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,45
Dairy Products,320,Wedding,400,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,25
Dairy Products,310,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Urban,High,35
Baked Goods,280,Birthday,350,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20
Dairy Products,320,Wedding,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35
Baked Goods,260,Social Gathering,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,20
Meat,400,Birthday,450,Refrigerated,Occasional,Winter,Buffet,Urban,Moderate,30
Meat,220,Wedding,300,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,15
Meat,275,Corporate,388,Refrigerated,Regular,All Seasons,Finger Food,Rural,Low,16
Meat,320,Corporate,400,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,40
Meat,400,Corporate,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,50
Dairy Products,400,Social Gathering,400,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40
Dairy Products,320,Birthday,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15
Vegetables,300,Social Gathering,450,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,35
Baked Goods,350,Birthday,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,25
Dairy Products,220,Social Gathering,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,15
Dairy Products,220,Social Gathering,300,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,15
Baked Goods,400,Social Gathering,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,50
Baked Goods,220,Social Gathering,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15
Fruits,453,Wedding,484,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,54
Meat,400,Corporate,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,50
Fruits,250,Birthday,350,Refrigerated,Regular,Summer,Finger Food,Suburban,High,30
Vegetables,350,Corporate,450,Room Temperature,Regular,Winter,Buffet,Urban,High,40
Meat,300,Wedding,400,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,25
Meat,380,Birthday,500,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,35
Meat,250,Wedding,350,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,20
Vegetables,220,Corporate,300,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,15
Baked Goods,488,Wedding,498,Room Temperature,Regular,Winter,Finger Food,Rural,High,63
Meat,400,Corporate,500,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,50
Baked Goods,491,Birthday,497,Room Temperature,Regular,Summer,Finger Food,Urban,High,32
Fruits,400,Wedding,500,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,High,40
Meat,261,Birthday,350,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Moderate,23
Vegetables,434,Wedding,495,Refrigerated,Regular,All Seasons,Sit-down Dinner,Rural,Low,36
Fruits,350,Wedding,450,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,30
Vegetables,350,Birthday,450,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,35
Baked Goods,380,Birthday,480,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,30
Fruits,400,Wedding,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40
Baked Goods,247,Wedding,348,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,16
Dairy Products,320,Corporate,400,Room Temperature,Regular,Winter,Buffet,Urban,Moderate,25
Meat,350,Social Gathering,450,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,35
Baked Goods,207,Wedding,280,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,20
Baked Goods,280,Corporate,350,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,25
Baked Goods,400,Corporate,500,Room Temperature,Occasional,Winter,Finger Food,Urban,High,40
Dairy Products,220,Wedding,300,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15
Baked Goods,400,Wedding,500,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40
Baked Goods,250,Birthday,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20
Baked Goods,320,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20
Vegetables,250,Corporate,350,Refrigerated,Occasional,Summer,Sit-down Dinner,Urban,Moderate,25
Baked Goods,280,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Rural,Low,20
Dairy Products,300,Corporate,400,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40
Dairy Products,230,Wedding,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,20
Vegetables,350,Wedding,450,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,Moderate,25
Fruits,261,Corporate,350,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,23
Baked Goods,247,Corporate,348,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,16
Baked Goods,380,Corporate,480,Room Temperature,Regular,All Seasons,Buffet,Suburban,Moderate,30
Baked Goods,350,Corporate,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35
Dairy Products,300,Birthday,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,20
Baked Goods,380,Social Gathering,480,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,30
Fruits,380,Social Gathering,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35
Vegetables,300,Social Gathering,400,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,35
Baked Goods,300,Social Gathering,400,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,20
Dairy Products,300,Wedding,400,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,25
Baked Goods,320,Wedding,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25
Baked Goods,300,Social Gathering,400,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,30
Baked Goods,280,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15
Baked Goods,208,Corporate,282,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,22
Baked Goods,320,Wedding,400,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,High,35
Baked Goods,300,Social Gathering,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40
Dairy Products,240,Social Gathering,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,30
Meat,250,Corporate,500,Refrigerated,Regular,Summer,Buffet,Urban,High,40
Meat,430,Corporate,477,Room Temperature,Regular,Winter,Buffet,Urban,Low,29
Fruits,350,Social Gathering,450,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,25
Baked Goods,300,Social Gathering,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40
Dairy Products,220,Social Gathering,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15
Baked Goods,280,Social Gathering,480,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,15
Baked Goods,350,Social Gathering,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,25
Dairy Products,350,Social Gathering,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,25
Fruits,320,Wedding,400,Refrigerated,Regular,Summer,Buffet,Rural,High,35
Meat,300,Wedding,400,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,15
Meat,380,Wedding,480,Refrigerated,Occasional,Winter,Buffet,Suburban,Moderate,30
Meat,300,Corporate,400,Refrigerated,Occasional,Winter,Finger Food,Suburban,Low,20
Meat,250,Wedding,350,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,25
Fruits,380,Corporate,500,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35
Meat,280,Corporate,350,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Low,25
Meat,350,Corporate,450,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,45
Meat,320,Wedding,400,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,35
Meat,380,Corporate,480,Refrigerated,Regular,Winter,Buffet,Urban,Moderate,30
Meat,250,Corporate,350,Refrigerated,Regular,Winter,Finger Food,Urban,High,30
Meat,280,Wedding,350,Refrigerated,Occasional,Summer,Finger Food,Rural,Low,20
Meat,429,Birthday,496,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,42
Dairy Products,320,Wedding,400,Room Temperature,Regular,Summer,Buffet,Rural,High,30
Meat,400,Wedding,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,50
Fruits,400,Wedding,450,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,30
Meat,208,Corporate,282,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,22
Fruits,320,Social Gathering,400,Room Temperature,Regular,Summer,Buffet,Rural,High,30
Vegetables,350,Wedding,450,Refrigerated,Occasional,Summer,Finger Food,Suburban,Low,20
Vegetables,280,Corporate,350,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,25
Meat,350,Wedding,450,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Moderate,25
Fruits,300,Wedding,450,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,35
Fruits,275,Wedding,388,Room Temperature,Regular,Winter,Finger Food,Rural,Low,16
Fruits,220,Birthday,450,Room Temperature,Regular,Summer,Finger Food,Rural,Low,20
Baked Goods,400,Wedding,500,Room Temperature,Regular,Summer,Buffet,Rural,High,30
Vegetables,302,Social Gathering,371,Refrigerated,Regular,Winter,Buffet,Suburban,Low,27
Baked Goods,320,Corporate,400,Room Temperature,Regular,All Seasons,Buffet,Urban,High,45
Meat,397,Wedding,482,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,31
Vegetables,320,Social Gathering,400,Refrigerated,Regular,All Seasons,Buffet,Rural,High,30
Meat,300,Social Gathering,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,15
Dairy Products,300,Corporate,400,Room Temperature,Regular,Winter,Finger Food,Urban,Low,20
Fruits,300,Wedding,400,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,Low,20
Baked Goods,320,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,15
Meat,230,Birthday,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,30
Meat,320,Social Gathering,400,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,35
Meat,280,Wedding,350,Refrigerated,Occasional,All Seasons,Finger Food,Rural,Low,20
Fruits,280,Wedding,350,Refrigerated,Occasional,Summer,Finger Food,Suburban,Low,20
Meat,320,Wedding,400,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,35
Meat,300,Birthday,400,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,35
Fruits,280,Wedding,350,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,25
Meat,400,Birthday,500,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,High,45
Meat,250,Social Gathering,350,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,20
Baked Goods,400,Corporate,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,50
Baked Goods,342,Corporate,405,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,29
Vegetables,350,Birthday,450,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Moderate,25
Fruits,250,Wedding,350,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,20
Baked Goods,320,Birthday,480,Room Temperature,Regular,Summer,Buffet,Suburban,High,40
Vegetables,320,Corporate,400,Room Temperature,Regular,Winter,Buffet,Urban,Moderate,25
Fruits,400,Birthday,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,50
Fruits,320,Corporate,400,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,20
Meat,250,Social Gathering,480,Room Temperature,Regular,Winter,Finger Food,Rural,Low,20
Baked Goods,350,Corporate,450,Room Temperature,Regular,Winter,Finger Food,Urban,Low,20
Vegetables,400,Corporate,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,45
Meat,250,Social Gathering,350,Room Temperature,Regular,Summer,Buffet,Rural,Moderate,20
Vegetables,434,Wedding,495,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,36
Vegetables,350,Birthday,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,45
Vegetables,400,Birthday,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,50
Baked Goods,280,Wedding,350,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,15
Fruits,250,Social Gathering,350,Refrigerated,Regular,All Seasons,Buffet,Suburban,Moderate,20
Baked Goods,300,Wedding,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40
Vegetables,250,Corporate,350,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,20
Baked Goods,300,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,25
Vegetables,300,Wedding,400,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,25
Dairy Products,280,Social Gathering,350,Room Temperature,Regular,Winter,Buffet,Urban,Low,20
Baked Goods,432,Wedding,477,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,23
Vegetables,300,Social Gathering,400,Room Temperature,Regular,Summer,Finger Food,Rural,Low,20
Dairy Products,300,Wedding,400,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,40
Dairy Products,320,Corporate,480,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,40
Vegetables,320,Social Gathering,400,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,35
Dairy Products,300,Corporate,400,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,15
Baked Goods,400,Corporate,500,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40
Meat,350,Social Gathering,450,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Moderate,25
Baked Goods,320,Corporate,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25
Meat,220,Social Gathering,300,Room Temperature,Occasional,Winter,Finger Food,Rural,Moderate,15
Dairy Products,275,Wedding,388,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,16
Vegetables,350,Wedding,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25
Dairy Products,320,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,25
Fruits,380,Wedding,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35
Dairy Products,400,Birthday,500,Room Temperature,Regular,Winter,Finger Food,Suburban,High,40
Vegetables,300,Social Gathering,400,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,25
Baked Goods,275,Birthday,388,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,16
Baked Goods,400,Corporate,350,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,35
Meat,250,Social Gathering,350,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25
Baked Goods,434,Wedding,495,Room Temperature,Occasional,Summer,Sit-down Dinner,Suburban,Low,36
Baked Goods,320,Social Gathering,400,Room Temperature,Regular,All Seasons,Buffet,Rural,High,30
Baked Goods,400,Corporate,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,25
Fruits,220,Social Gathering,300,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,15
Baked Goods,280,Social Gathering,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Low,20
